station,dateTime,value
Stanhope,2022-11-16 00:00:00+00:00,0.913
Stanhope,2022-11-16 00:15:00+00:00,0.903
Stanhope,2022-11-16 00:30:00+00:00,0.895
Stanhope,2022-11-16 00:45:00+00:00,0.89
Stanhope,2022-11-16 01:00:00+00:00,0.876
Stanhope,2022-11-16 01:15:00+00:00,0.87
Stanhope,2022-11-16 01:30:00+00:00,0.862
Stanhope,2022-11-16 01:45:00+00:00,0.852
Stanhope,2022-11-16 02:00:00+00:00,0.843
Stanhope,2022-11-16 02:15:00+00:00,0.836
Stanhope,2022-11-16 02:30:00+00:00,0.829
Stanhope,2022-11-16 02:45:00+00:00,0.823
Stanhope,2022-11-16 03:00:00+00:00,0.816
Stanhope,2022-11-16 03:15:00+00:00,0.811
Stanhope,2022-11-16 03:30:00+00:00,0.804
Stanhope,2022-11-16 03:45:00+00:00,0.798
Stanhope,2022-11-16 04:00:00+00:00,0.791
Stanhope,2022-11-16 04:15:00+00:00,0.783
Stanhope,2022-11-16 04:30:00+00:00,0.775
Stanhope,2022-11-16 04:45:00+00:00,0.77
Stanhope,2022-11-16 05:00:00+00:00,0.766
Stanhope,2022-11-16 05:15:00+00:00,0.761
Stanhope,2022-11-16 05:30:00+00:00,0.756
Stanhope,2022-11-16 05:45:00+00:00,0.75
Stanhope,2022-11-16 06:00:00+00:00,0.743
Stanhope,2022-11-16 06:15:00+00:00,0.74
Stanhope,2022-11-16 06:30:00+00:00,0.735
Stanhope,2022-11-16 06:45:00+00:00,0.728
Stanhope,2022-11-16 07:00:00+00:00,0.721
Stanhope,2022-11-16 07:15:00+00:00,0.719
Stanhope,2022-11-16 07:30:00+00:00,0.715
Stanhope,2022-11-16 07:45:00+00:00,0.71
Stanhope,2022-11-16 08:00:00+00:00,0.707
Stanhope,2022-11-16 08:15:00+00:00,0.7
Stanhope,2022-11-16 08:30:00+00:00,0.696
Stanhope,2022-11-16 08:45:00+00:00,0.693
Stanhope,2022-11-16 09:00:00+00:00,0.685
Stanhope,2022-11-16 09:15:00+00:00,0.685
Stanhope,2022-11-16 09:30:00+00:00,0.682
Stanhope,2022-11-16 09:45:00+00:00,0.67
Stanhope,2022-11-16 10:00:00+00:00,0.667
Stanhope,2022-11-16 10:15:00+00:00,0.663
Stanhope,2022-11-16 10:30:00+00:00,0.652
Stanhope,2022-11-16 10:45:00+00:00,0.652
Stanhope,2022-11-16 11:00:00+00:00,0.647
Stanhope,2022-11-16 11:15:00+00:00,0.643
Stanhope,2022-11-16 11:30:00+00:00,0.635
Stanhope,2022-11-16 11:45:00+00:00,0.634
Stanhope,2022-11-16 12:00:00+00:00,0.628
Stanhope,2022-11-16 12:15:00+00:00,0.626
Stanhope,2022-11-16 12:30:00+00:00,0.621
Stanhope,2022-11-16 12:45:00+00:00,0.621
Stanhope,2022-11-16 13:00:00+00:00,0.616
Stanhope,2022-11-16 13:15:00+00:00,0.606
Stanhope,2022-11-16 13:30:00+00:00,0.603
Stanhope,2022-11-15 00:00:00+00:00,0.364
Stanhope,2022-11-15 00:15:00+00:00,0.364
Stanhope,2022-11-15 00:30:00+00:00,0.364
Stanhope,2022-11-15 00:45:00+00:00,0.364
Stanhope,2022-11-15 01:00:00+00:00,0.364
Stanhope,2022-11-15 01:15:00+00:00,0.363
Stanhope,2022-11-15 01:30:00+00:00,0.363
Stanhope,2022-11-15 01:45:00+00:00,0.363
Stanhope,2022-11-15 02:00:00+00:00,0.363
Stanhope,2022-11-15 02:15:00+00:00,0.362
Stanhope,2022-11-15 02:30:00+00:00,0.362
Stanhope,2022-11-15 02:45:00+00:00,0.362
Stanhope,2022-11-15 03:00:00+00:00,0.362
Stanhope,2022-11-15 03:15:00+00:00,0.361
Stanhope,2022-11-15 03:30:00+00:00,0.361
Stanhope,2022-11-15 03:45:00+00:00,0.36
Stanhope,2022-11-15 04:00:00+00:00,0.361
Stanhope,2022-11-15 04:15:00+00:00,0.36
Stanhope,2022-11-15 04:30:00+00:00,0.36
Stanhope,2022-11-15 04:45:00+00:00,0.36
Stanhope,2022-11-15 05:00:00+00:00,0.36
Stanhope,2022-11-15 05:15:00+00:00,0.36
Stanhope,2022-11-15 05:30:00+00:00,0.359
Stanhope,2022-11-15 05:45:00+00:00,0.359
Stanhope,2022-11-15 06:00:00+00:00,0.359
Stanhope,2022-11-15 06:15:00+00:00,0.359
Stanhope,2022-11-15 06:30:00+00:00,0.359
Stanhope,2022-11-15 06:45:00+00:00,0.359
Stanhope,2022-11-15 07:00:00+00:00,0.358
Stanhope,2022-11-15 07:15:00+00:00,0.358
Stanhope,2022-11-15 07:30:00+00:00,0.358
Stanhope,2022-11-15 07:45:00+00:00,0.359
Stanhope,2022-11-15 08:00:00+00:00,0.359
Stanhope,2022-11-15 08:15:00+00:00,0.36
Stanhope,2022-11-15 08:30:00+00:00,0.36
Stanhope,2022-11-15 08:45:00+00:00,0.36
Stanhope,2022-11-15 09:00:00+00:00,0.359
Stanhope,2022-11-15 09:15:00+00:00,0.36
Stanhope,2022-11-15 09:30:00+00:00,0.359
Stanhope,2022-11-15 09:45:00+00:00,0.36
Stanhope,2022-11-15 10:00:00+00:00,0.361
Stanhope,2022-11-15 10:15:00+00:00,0.363
Stanhope,2022-11-15 10:30:00+00:00,0.364
Stanhope,2022-11-15 10:45:00+00:00,0.365
Stanhope,2022-11-15 11:00:00+00:00,0.367
Stanhope,2022-11-15 11:15:00+00:00,0.369
Stanhope,2022-11-15 11:30:00+00:00,0.37
Stanhope,2022-11-15 11:45:00+00:00,0.372
Stanhope,2022-11-15 12:00:00+00:00,0.375
Stanhope,2022-11-15 12:15:00+00:00,0.379
Stanhope,2022-11-15 12:30:00+00:00,0.382
Stanhope,2022-11-15 12:45:00+00:00,0.386
Stanhope,2022-11-15 13:00:00+00:00,0.392
Stanhope,2022-11-15 13:15:00+00:00,0.397
Stanhope,2022-11-15 13:30:00+00:00,0.406
Stanhope,2022-11-15 13:45:00+00:00,0.416
Stanhope,2022-11-15 14:00:00+00:00,0.429
Stanhope,2022-11-15 14:15:00+00:00,0.442
Stanhope,2022-11-15 14:30:00+00:00,0.462
Stanhope,2022-11-15 14:45:00+00:00,0.492
Stanhope,2022-11-15 15:00:00+00:00,0.535
Stanhope,2022-11-15 15:15:00+00:00,0.604
Stanhope,2022-11-15 15:30:00+00:00,0.676
Stanhope,2022-11-15 15:45:00+00:00,0.74
Stanhope,2022-11-15 16:00:00+00:00,0.794
Stanhope,2022-11-15 16:15:00+00:00,0.863
Stanhope,2022-11-15 16:30:00+00:00,0.913
Stanhope,2022-11-15 16:45:00+00:00,0.948
Stanhope,2022-11-15 17:00:00+00:00,0.972
Stanhope,2022-11-15 17:15:00+00:00,1.035
Stanhope,2022-11-15 17:30:00+00:00,1.063
Stanhope,2022-11-15 17:45:00+00:00,1.086
Stanhope,2022-11-15 18:00:00+00:00,1.098
Stanhope,2022-11-15 18:15:00+00:00,1.099
Stanhope,2022-11-15 18:30:00+00:00,1.105
Stanhope,2022-11-15 18:45:00+00:00,1.102
Stanhope,2022-11-15 19:00:00+00:00,1.106
Stanhope,2022-11-15 19:15:00+00:00,1.102
Stanhope,2022-11-15 19:30:00+00:00,1.096
Stanhope,2022-11-15 19:45:00+00:00,1.084
Stanhope,2022-11-15 20:00:00+00:00,1.08
Stanhope,2022-11-15 20:15:00+00:00,1.063
Stanhope,2022-11-15 20:30:00+00:00,1.058
Stanhope,2022-11-15 20:45:00+00:00,1.045
Stanhope,2022-11-15 21:00:00+00:00,1.032
Stanhope,2022-11-15 21:15:00+00:00,1.018
Stanhope,2022-11-15 21:30:00+00:00,1.008
Stanhope,2022-11-15 22:30:00+00:00,0.968
Stanhope,2022-11-15 21:45:00+00:00,0.995
Stanhope,2022-11-15 22:15:00+00:00,0.974
Stanhope,2022-11-15 22:00:00+00:00,0.986
Stanhope,2022-11-15 22:45:00+00:00,0.963
Stanhope,2022-11-15 23:00:00+00:00,0.954
Stanhope,2022-11-15 23:15:00+00:00,0.944
Stanhope,2022-11-15 23:30:00+00:00,0.932
Stanhope,2022-11-15 23:45:00+00:00,0.923
Stanhope,2022-11-14 00:00:00+00:00,0.386
Stanhope,2022-11-14 00:15:00+00:00,0.385
Stanhope,2022-11-14 00:30:00+00:00,0.386
Stanhope,2022-11-14 00:45:00+00:00,0.385
Stanhope,2022-11-14 01:00:00+00:00,0.386
Stanhope,2022-11-14 01:15:00+00:00,0.384
Stanhope,2022-11-14 01:30:00+00:00,0.385
Stanhope,2022-11-14 01:45:00+00:00,0.384
Stanhope,2022-11-14 02:00:00+00:00,0.384
Stanhope,2022-11-14 02:15:00+00:00,0.384
Stanhope,2022-11-14 02:45:00+00:00,0.383
Stanhope,2022-11-14 02:30:00+00:00,0.383
Stanhope,2022-11-14 03:00:00+00:00,0.383
Stanhope,2022-11-14 03:15:00+00:00,0.383
Stanhope,2022-11-14 03:30:00+00:00,0.383
Stanhope,2022-11-14 03:45:00+00:00,0.382
Stanhope,2022-11-14 04:00:00+00:00,0.381
Stanhope,2022-11-14 04:15:00+00:00,0.381
Stanhope,2022-11-14 04:30:00+00:00,0.382
Stanhope,2022-11-14 04:45:00+00:00,0.38
Stanhope,2022-11-14 05:00:00+00:00,0.38
Stanhope,2022-11-14 05:15:00+00:00,0.379
Stanhope,2022-11-14 05:30:00+00:00,0.379
Stanhope,2022-11-14 05:45:00+00:00,0.38
Stanhope,2022-11-14 06:00:00+00:00,0.379
Stanhope,2022-11-14 06:15:00+00:00,0.378
Stanhope,2022-11-14 06:30:00+00:00,0.379
Stanhope,2022-11-14 06:45:00+00:00,0.379
Stanhope,2022-11-14 07:00:00+00:00,0.378
Stanhope,2022-11-14 07:15:00+00:00,0.378
Stanhope,2022-11-14 07:30:00+00:00,0.378
Stanhope,2022-11-14 08:00:00+00:00,0.378
Stanhope,2022-11-14 07:45:00+00:00,0.378
